mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.04081482887268066,0.00933651419937675,0.057702159881591795,0.006551186894434706,6,uniform,"{'n_neighbors': 6, 'weights': 'uniform'}",0.7380952380952381,0.7228915662650602,0.8433734939759037,0.7590361445783133,0.7590361445783133,0.7644865174985658,0.04173537536512141,12,0.8765060240963856,0.8828828828828829,0.8498498498498499,0.8438438438438438,0.8708708708708709,0.8647906943087665,0.015254797042280145
0.03797183036804199,0.00881330812591419,0.05580449104309082,0.0045193288346216855,6,distance,"{'n_neighbors': 6, 'weights': 'distance'}",0.75,0.7590361445783133,0.8433734939759037,0.8072289156626506,0.8072289156626506,0.7933734939759038,0.03447973017169685,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.033191585540771486,0.003925834386527893,0.05447754859924316,0.007999726401542308,7,uniform,"{'n_neighbors': 7, 'weights': 'uniform'}",0.7976190476190477,0.7469879518072289,0.7951807228915663,0.7108433734939759,0.7349397590361446,0.7571141709695925,0.034131917513564605,32,0.8524096385542169,0.8828828828828829,0.8438438438438438,0.8528528528528528,0.8738738738738738,0.8611726184015339,0.01468980746425574
0.03211474418640137,0.0014527004495558014,0.04582324028015137,0.0015248537538892475,7,distance,"{'n_neighbors': 7, 'weights': 'distance'}",0.7976190476190477,0.7469879518072289,0.8313253012048193,0.7469879518072289,0.7590361445783133,0.7763912794033276,0.033162258508577264,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.033664369583129884,0.0035043972723535523,0.05990643501281738,0.01560376487415037,8,uniform,"{'n_neighbors': 8, 'weights': 'uniform'}",0.75,0.6987951807228916,0.7831325301204819,0.7228915662650602,0.7349397590361446,0.7379518072289157,0.02812678922874396,55,0.8524096385542169,0.8588588588588588,0.8498498498498499,0.8408408408408409,0.8738738738738738,0.855166612395528,0.01099718978040356
0.03616728782653809,0.00635546429603094,0.04746155738830567,0.0018905259538724859,8,distance,"{'n_neighbors': 8, 'weights': 'distance'}",0.7857142857142857,0.7349397590361446,0.8192771084337349,0.7108433734939759,0.7590361445783133,0.7619621342512909,0.037950148468361505,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.03201160430908203,0.00426418481712526,0.04914636611938476,0.0006109118758195692,9,uniform,"{'n_neighbors': 9, 'weights': 'uniform'}",0.7857142857142857,0.6867469879518072,0.8192771084337349,0.7349397590361446,0.7228915662650602,0.7499139414802066,0.04698385360375792,44,0.8283132530120482,0.8348348348348348,0.8348348348348348,0.8348348348348348,0.8438438438438438,0.8353323202720793,0.004948854695671614
0.033751058578491214,0.005113747426854855,0.0599459171295166,0.026506717531189425,9,distance,"{'n_neighbors': 9, 'weights': 'distance'}",0.7738095238095238,0.7108433734939759,0.7951807228915663,0.7590361445783133,0.7349397590361446,0.7547619047619047,0.02945001401118637,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.04844226837158203,0.0016914567378391867,0.0731125831604004,0.00939312227162435,10,uniform,"{'n_neighbors': 10, 'weights': 'uniform'}",0.7619047619047619,0.6987951807228916,0.8072289156626506,0.7108433734939759,0.7710843373493976,0.7499713138267354,0.04004145908292048,43,0.8253012048192772,0.8558558558558559,0.8258258258258259,0.8228228228228228,0.8288288288288288,0.8317269076305221,0.012214746436570199
0.03881759643554687,0.007578528309694289,0.049890756607055664,0.003422936828682935,10,distance,"{'n_neighbors': 10, 'weights': 'distance'}",0.75,0.7349397590361446,0.8072289156626506,0.7349397590361446,0.7710843373493976,0.7596385542168674,0.027235312181824862,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.03727421760559082,0.007447110994196882,0.05638275146484375,0.003703086518511087,11,uniform,"{'n_neighbors': 11, 'weights': 'uniform'}",0.7976190476190477,0.6626506024096386,0.8313253012048193,0.7349397590361446,0.7349397590361446,0.752294893861159,0.05820409710356754,40,0.8162650602409639,0.8528528528528528,0.8258258258258259,0.8168168168168168,0.8408408408408409,0.8305202793154599,0.014270892613163102
0.041310691833496095,0.00920707292580142,0.059182596206665036,0.00651836087150752,11,distance,"{'n_neighbors': 11, 'weights': 'distance'}",0.7857142857142857,0.7108433734939759,0.8313253012048193,0.7469879518072289,0.7469879518072289,0.7643717728055077,0.04100722331549402,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
